id,province,city,county,town,village
110101010026,北京市,市辖区,东城区,和平里街道,青年湖社区居委会
110101010027,北京市,市辖区,东城区,和平里街道,和平里社区居委会
110101010028,北京市,市辖区,东城区,和平里街道,交林社区居委会
110101010029,北京市,市辖区,东城区,和平里街道,上龙社区居委会
110101011001,北京市,市辖区,东城区,前门街道,前门东大街社区居委会
110101011006,北京市,市辖区,东城区,前门街道,大江社区居委会
110101011010,北京市,市辖区,东城区,前门街道,草厂社区居委会
110101012001,北京市,市辖区,东城区,崇文门外街道,兴隆都市馨园社区居委会
110101012002,北京市,市辖区,东城区,崇文门外街道,新世界家园社区居委会
110101012003,北京市,市辖区,东城区,崇文门外街道,崇文门东大街社区居委会
110101012004,北京市,市辖区,东城区,崇文门外街道,崇文门西大街社区居委会
110101012005,北京市,市辖区,东城区,崇文门外街道,西花市南里东区社区居委会
110101012006,北京市,市辖区,东城区,崇文门外街道,西花市南里西区社区居委会
110101012008,北京市,市辖区,东城区,崇文门外街道,新怡家园社区居委会
110101012009,北京市,市辖区,东城区,崇文门外街道,西花市南里南区社区居委会
110101012010,北京市,市辖区,东城区,崇文门外街道,国瑞城西区社区居委会
110101012011,北京市,市辖区,东城区,崇文门外街道,国瑞城中区社区居委会
110101012012,北京市,市辖区,东城区,崇文门外街道,国瑞城东区社区居委会
110101013001,北京市,市辖区,东城区,东花市街道,东花市北里西区社区居委会
110101013002,北京市,市辖区,东城区,东花市街道,东花市北里东区社区居委会
110101013003,北京市,市辖区,东城区,东花市街道,花市枣苑社区居委会
110101013004,北京市,市辖区,东城区,东花市街道,东花市南里社区居委会
110101013005,北京市,市辖区,东城区,东花市街道,广渠门北里社区居委会
110101013006,北京市,市辖区,东城区,东花市街道,广渠门外南里社区居委会
110101013007,北京市,市辖区,东城区,东花市街道,忠实里社区居委会
110101013008,北京市,市辖区,东城区,东花市街道,东花市南里东区社区居委会
110101014001,北京市,市辖区,东城区,龙潭街道,安化楼社区居委会
110101014002,北京市,市辖区,东城区,龙潭街道,夕照寺社区居委会
110101014006,北京市,市辖区,东城区,龙潭街道,板厂南里社区居委会
110101014010,北京市,市辖区,东城区,龙潭街道,华城社区居委会
110101014012,北京市,市辖区,东城区,龙潭街道,左安漪园社区居委会
110101014013,北京市,市辖区,东城区,龙潭街道,左安浦园社区居委会
110101014016,北京市,市辖区,东城区,龙潭街道,幸福社区居委会
110101014017,北京市,市辖区,东城区,龙潭街道,新家园社区居委会
110101014018,北京市,市辖区,东城区,龙潭街道,龙潭北里社区居委会
110101014019,北京市,市辖区,东城区,龙潭街道,光明社区居委会
110101015001,北京市,市辖区,东城区,体育馆路街道,东厅社区居委会
110101015002,北京市,市辖区,东城区,体育馆路街道,葱店社区居委会
110101015003,北京市,市辖区,东城区,体育馆路街道,法华南里社区居委会
110101015004,北京市,市辖区,东城区,体育馆路街道,体育总局社区居委会
110101015005,北京市,市辖区,东城区,体育馆路街道,南岗子社区居委会
110101015006,北京市,市辖区,东城区,体育馆路街道,长青园社区居委会
110101015007,北京市,市辖区,东城区,体育馆路街道,四块玉社区居委会
110101015010,北京市,市辖区,东城区,体育馆路街道,西唐社区居委会
110101016001,北京市,市辖区,东城区,天坛街道,东晓市社区居委会
110101016002,北京市,市辖区,东城区,天坛街道,西园子社区居委会
110101016008,北京市,市辖区,东城区,天坛街道,永定门内社区居委会
110101016010,北京市,市辖区,东城区,天坛街道,泰元社区居委会
110101016014,北京市,市辖区,东城区,天坛街道,金鱼池西社区居委会
110101016015,北京市,市辖区,东城区,天坛街道,金鱼池社区居委会
110101016017,北京市,市辖区,东城区,天坛街道,祈谷社区居委会
110101016018,北京市,市辖区,东城区,天坛街道,昭亨社区居委会
110101016019,北京市,市辖区,东城区,天坛街道,金台社区居委会
110101016020,北京市,市辖区,东城区,天坛街道,广利社区居委会
110101016021,北京市,市辖区,东城区,天坛街道,精忠社区居委会
110101017001,北京市,市辖区,东城区,永定门外街道,彭庄社区居委会
110101017002,北京市,市辖区,东城区,永定门外街道,中海紫御社区居委会
110101017004,北京市,市辖区,东城区,永定门外街道,百荣嘉园社区居委会
110101017005,北京市,市辖区,东城区,永定门外街道,管村社区居委会
110101017006,北京市,市辖区,东城区,永定门外街道,桃园社区居委会
110101017007,北京市,市辖区,东城区,永定门外街道,民主北街社区居委会
110101017008,北京市,市辖区,东城区,永定门外街道,琉璃井社区居委会
110101017009,北京市,市辖区,东城区,永定门外街道,桃杨路社区居委会
110101017010,北京市,市辖区,东城区,永定门外街道,杨家园社区居委会
110101017011,北京市,市辖区,东城区,永定门外街道,李村社区居委会
110101017012,北京市,市辖区,东城区,永定门外街道,宝华里社区居委会
110101017013,北京市,市辖区,东城区,永定门外街道,定安里社区居委会
110101017014,北京市,市辖区,东城区,永定门外街道,安乐林社区居委会
110101017015,北京市,市辖区,东城区,永定门外街道,景泰社区居委会
110101017016,北京市,市辖区,东城区,永定门外街道,永铁苑社区居委会
110101017017,北京市,市辖区,东城区,永定门外街道,天天家园社区居委会
110101017018,北京市,市辖区,东城区,永定门外街道,富莱茵社区居委会
110101017019,北京市,市辖区,东城区,永定门外街道,革新西里社区居委会
110101017020,北京市,市辖区,东城区,永定门外街道,革新里社区居委会
110102001004,北京市,市辖区,西城区,西长安街街道,府右街南社区居委会
110102001007,北京市,市辖区,西城区,西长安街街道,西交民巷社区居委会
110102001011,北京市,市辖区,西城区,西长安街街道,北新华街社区居委会
110102001012,北京市,市辖区,西城区,西长安街街道,六部口社区居委会
110102001013,北京市,市辖区,西城区,西长安街街道,和平门社区居委会
110102001018,北京市,市辖区,西城区,西长安街街道,钟声社区居委会
110102001019,北京市,市辖区,西城区,西长安街街道,太仆寺街社区居委会
110102001023,北京市,市辖区,西城区,西长安街街道,西黄城根南街社区居委会
110102001026,北京市,市辖区,西城区,西长安街街道,义达里社区居委会
110102001027,北京市,市辖区,西城区,西长安街街道,西单北社区居委会
110102001028,北京市,市辖区,西城区,西长安街街道,未英社区居委会
110102003015,北京市,市辖区,西城区,新街口街道,西里二区社区居委会
110102003020,北京市,市辖区,西城区,新街口街道,西里一区社区居委会
110102003025,北京市,市辖区,西城区,新街口街道,西里四区社区居委会
110102003026,北京市,市辖区,西城区,新街口街道,北草厂社区居委会
110102003028,北京市,市辖区,西城区,新街口街道,西里三区社区居委会
110102003032,北京市,市辖区,西城区,新街口街道,玉桃园社区居委会
110102003033,北京市,市辖区,西城区,新街口街道,西四北头条社区居委会
110102003034,北京市,市辖区,西城区,新街口街道,西四北三条社区居委会
110102003035,北京市,市辖区,西城区,新街口街道,西四北六条社区居委会
110102003036,北京市,市辖区,西城区,新街口街道,育德社区居委会
110102003037,北京市,市辖区,西城区,新街口街道,前公用社区居委会
110102003038,北京市,市辖区,西城区,新街口街道,半壁街社区居委会
110102003039,北京市,市辖区,西城区,新街口街道,南小街社区居委会
110102003040,北京市,市辖区,西城区,新街口街道,冠英园社区居委会
110102003042,北京市,市辖区,西城区,新街口街道,大觉社区居委会
110102003043,北京市,市辖区,西城区,新街口街道,富国里社区居委会
110102003045,北京市,市辖区,西城区,新街口街道,安平巷社区居委会
110102003046,北京市,市辖区,西城区,新街口街道,官园社区居委会
110102003048,北京市,市辖区,西城区,新街口街道,宫门口社区居委会
110102003049,北京市,市辖区,西城区,新街口街道,北顺社区居委会
110102003050,北京市,市辖区,西城区,新街口街道,中直社区居委会
110102007003,北京市,市辖区,西城区,月坛街道,月坛社区居委会
110102007004,北京市,市辖区,西城区,月坛街道,社会路社区居委会
110102007005,北京市,市辖区,西城区,月坛街道,铁道部住宅区第三社区居委会
110102007006,北京市,市辖区,西城区,月坛街道,三里河一区社区居委会
110102007010,北京市,市辖区,西城区,月坛街道,南沙沟社区居委会
110102007011,北京市,市辖区,西城区,月坛街道,复兴门北大街社区居委会
110102007013,北京市,市辖区,西城区,月坛街道,铁道部住宅区第二、二社区居委会
110102007016,北京市,市辖区,西城区,月坛街道,复兴门外大街甲7号院社区居委会
110102007018,北京市,市辖区,西城区,月坛街道,三里河二区社区居委会
110102007020,北京市,市辖区,西城区,月坛街道,三里河三区第一社区居委会
110102007022,北京市,市辖区,西城区,月坛街道,三里河三区第三社区居委会
110102007024,北京市,市辖区,西城区,月坛街道,南礼士路社区居委会
110102007025,北京市,市辖区,西城区,月坛街道,木樨地社区居委会
110102007028,北京市,市辖区,西城区,月坛街道,复兴门外社区居委会
110102007029,北京市,市辖区,西城区,月坛街道,全国总工会住宅区社区居委会
